stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
420,420,Chili & Elham,STATE HWY 33A & ELHAM RD,43.133317,-77.684049,,,,
421,421,Chili & Fessenden,STATE HWY 33A & FESSENDEN ST,43.142086,-77.660765,,,,
422,422,Chili & Fisher,STATE HWY 33A & FISHER RD,43.130146,-77.693284,,,,
423,423,Chili & Fisher,STATE HWY 33A & FISHER RD,43.130256,-77.693765,,,,
425,425,Chili & Genesee Park,STATE HWY 33A & GENESEE PARK BLVD,43.142596,-77.658928,,,,
426,426,Chili & Genesee Park,STATE HWY 33A & GENESEE PARK BLVD,43.143174,-77.657606,,,,
427,427,Chili & Grenell,STATE HWY 33A & GRENELL DR,43.109239,-77.741722,,,,
429,429,Chili & Hinchey,STATE HWY 33A & COUNTY HWY 237,43.13852,-77.67144,,,,
431,431,Chili & Hobart,STATE HWY 33A & HOBART ST,43.146254,-77.648447,,,,
432,432,Chili & Howard,STATE HWY 33A & COUNTY HWY 164,43.13107,-77.689356,,,,
433,433,Chili & Jasmine,STATE HWY 33A & JASMINE RD,43.137462,-77.67448,,,,
435,435,Chili & Kernwood,STATE HWY 33A & KERNWOOD DR,43.128476,-77.697294,,,,
436,436,Chili & Chili Center Coldwater,STATE HWY 33A & UNNAMED ST,43.10793,-77.744939,,,,
437,437,Chili & Lettington,STATE HWY 33A & LETTINGTON AVE,43.135569,-77.680093,,,,
438,438,Chili & Lettington,STATE HWY 33A & LETTINGTON AVE,43.135491,-77.679669,,,,
440,440,Chili & Lexington,STATE HWY 33A & LEXINGTON PKWY,43.124068,-77.706528,,,,
441,441,Chili & Lincoln,STATE HWY 33A & LINCOLN AVE,43.143851,-77.655609,,,,
443,443,Chili & Marilou,STATE HWY 33A & MARILOU DR,43.134508,-77.681869,,,,
444,444,Chili & Marshall,STATE HWY 33A & MARSHALL RD,43.119848,-77.71529,,,,
445,445,Chili & Maureen,STATE HWY 33A & MAUREEN DR,43.114588,-77.730845,,,,
449,449,Chili & Paul,STATE HWY 33A & STATE HWY 252A,43.107525,-77.745174,,,,
450,450,Chili & Paul,STATE HWY 33A & STATE HWY 252A,43.105767,-77.749162,,,,
451,451,Chili & Pearwood,STATE HWY 33A & PEARWOOD RD,43.137883,-77.672506,,,,
452,452,Chili & Pikuet,STATE HWY 33A & PIKUET DR,43.107876,-77.744392,,,,
453,453,Chili & Pixley,STATE HWY 33A & COUNTY HWY 160,43.122564,-77.709646,,,,
454,454,Chili & Pixley,STATE HWY 33A & COUNTY HWY 160,43.122851,-77.709382,,,,
455,455,Chili & Post,STATE HWY 33A & POST AVE,43.1462,-77.648228,,,,
